world,strategy,n,survival_rate,true_ruin_rate,passive_ruin_rate,mean_lifespan,median_lifespan,mean_final_R,mean_final_E,mean_final_G,mean_final_O,mean_final_K,mean_final_X,mean_peak_X,mean_cum_prod,mean_prod,mean_switches,score
LateStagnation,Adaptive_NRMOvNext_OmegaFull,20.0,1.0,0.0,0.0,200.0,200.0,129.72429730000763,112.84715883146714,129.7244322610601,130.0,129.76515696345018,5.952524277474861,26.017093380319416,129.19232659716582,0.6459616329858292,0.0,1.2270980658100394
LateStagnation,Adaptive_NRMOvNext_SE,20.0,1.0,0.0,0.0,200.0,200.0,129.26289077719963,123.94083072941028,129.28313344089136,130.0,129.84503891270458,2.6898941245598165,20.593047827293727,122.22906137536772,0.6111453068768385,0.0,1.2268224752235626
LateStagnation,AlphaSearch,20.0,0.65,0.35,0.0,184.75,200.0,128.09888898812343,16.65309794741233,128.77454891953812,129.28188346256326,123.9320050752389,41.83632667685276,49.728431467103924,192.62745232797607,1.0353687393669817,0.0,0.6288748759740836
LateStagnation,ExpectedValueMax,20.0,0.25,0.75,0.0,148.95,151.0,128.19638215757524,10.124815223683697,124.19662981121485,128.6692749306123,109.41091349473955,48.74842205575387,55.47704911995337,152.8485434885213,1.0069621945450653,0.0,-0.07320191120509276
LateStagnation,NRMO_Original,20.0,0.9,0.1,0.0,190.45,200.0,128.22447724406777,23.488594392653585,128.85352721732707,129.48993774279592,126.82984174014871,30.418067271954015,53.4595210535883,184.71276292502318,0.9687661116302131,0.0,1.0597803518354545
LateStagnation,NRMO_StrongEngine,20.0,0.9,0.1,0.0,194.85,200.0,129.88178379618577,25.480971041547768,130.0,130.0,126.31611485640511,29.443962444337057,48.15959231644291,192.2946595910493,0.9830401944259058,0.0,1.0642686619561603
LateStagnation,NRMO_vNext,20.0,1.0,0.0,0.0,200.0,200.0,129.93491245912315,117.27534580299596,129.42920631959237,130.0,129.67177704822578,3.969458450784841,23.77554220829716,128.0848398028185,0.6404241990140924,0.0,1.2281805063436004
LateStagnation,NRMOvNext_StrongEngine,20.0,1.0,0.0,0.0,200.0,200.0,130.0,124.0999476570752,129.8682811524611,130.0,129.0517614288667,2.5701837182277,20.47979899981222,122.17010727107042,0.610850536355352,0.0,1.2268909785097915
LateStagnation,RiskAdjustedUtility,20.0,1.0,0.0,0.0,200.0,200.0,128.57750286947777,109.87427171883579,128.92722225804243,130.0,126.63383351426842,10.734143823258249,23.2519504752368,151.77199621398225,0.7588599810699113,0.0,1.2324517647753943
LateStagnation,UltraConservative,20.0,0.95,0.05,0.0,198.0,200.0,51.404284790716794,129.45647807932312,129.64288718540783,129.76964782183103,105.88674932489941,0.8771408729411017,15.800905743368196,18.89350848428825,0.09533747673926746,0.0,1.1015637304755268
Normal,Adaptive_NRMOvNext_OmegaFull,20.0,1.0,0.0,0.0,200.0,200.0,128.21429001510592,91.72120078885948,129.72381906699766,129.9641381105595,127.22486248292964,13.522156382132698,37.0953830973782,140.23075533845432,0.7011537766922714,0.2,1.2256409884560542
Normal,Adaptive_NRMOvNext_SE,20.0,0.95,0.05,0.0,199.5,200.0,127.10361800734279,87.69666252622861,128.85252266406138,129.7263612114184,128.68868197855284,11.853780308760236,30.681616914322866,117.21526791640142,0.587463681127786,0.4,1.1323889301448626
